           2.00            0.01          16.384 -3.4396433066870
           2.00            0.01          65.536 -6.8792862413738
           2.00            0.01         262.144 -13.7585721107489
           2.00            0.01        1048.576 -27.5171438494983
           2.00            0.02           0.001 -0.0295398506843
           2.00            0.02           0.004 -0.0590794408845
           2.00            0.02           0.016 -0.1181586213447
           2.00            0.02           0.064 -0.2363169822953
           2.00            0.02           0.256 -0.4726337042114
           2.00            0.02           1.024 -0.9452671480510
           2.00            0.02           4.096 -1.8905340357341
           2.00            0.02          16.384 -3.7810678111021
           2.00            0.02          65.536 -7.5621353618391
           2.00            0.02         262.144 -15.1242704633132
           2.00            0.02        1048.576 -30.2485406662623
           2.00            0.04           0.001 -0.0296020893046
           2.00            0.04           0.004 -0.0592040231089
           2.00            0.04           0.016 -0.1184078907324
           2.00            0.04           0.064 -0.2368156259872
           2.00            0.04           0.256 -0.4736310965005
           2.00            0.04           1.024 -0.9472620375290
           2.00            0.04           4.096 -1.8945239195869
           2.00            0.04          16.384 -3.7890476837032
           2.00            0.04          65.536 -7.5780952119359
           2.00            0.04         262.144 -15.1561902684019
           2.00            0.04        1048.576 -30.3123803813320
           2.00            0.08           0.001 -0.0284041348342
           2.00            0.08           0.004 -0.0568081779893
           2.00            0.08           0.016 -0.1136162643027
           2.00            0.08           0.064 -0.2272324369311
           2.00            0.08           0.256 -0.4544647821886
           2.00            0.08           1.024 -0.9089294727042
           2.00            0.08           4.096 -1.8178588537354
           2.00            0.08          16.384 -3.6357176157977
           2.00            0.08          65.536 -7.2714351399218
           2.00            0.08         262.144 -14.5428701881776
           2.00            0.08        1048.576 -29.0857402846557
           2.00            0.16           0.001 -0.0262011007804
           2.00            0.16           0.004 -0.0524021435955
           2.00            0.16           0.016 -0.1048042292264
           2.00            0.16           0.064 -0.2096084004884
           2.00            0.16           0.256 -0.4192167430126
           2.00            0.16           1.024 -0.8384334280611
           2.00            0.16           4.096 -1.6768667981582
           2.00            0.16          16.384 -3.3537335383521
           2.00            0.16          65.536 -6.7074670187492
           2.00            0.16         262.144 -13.4149339795290
           2.00            0.16        1048.576 26.8298677851207
           2.00            0.32           0.001 -0.0230751452930
           2.00            0.32           0.004 -0.0461502498020
           2.00            0.32           0.016 -0.0923004588202
           2.00            0.32           0.064 -0.1846008768567
           2.00            0.32           0.256 -0.3692017129297
           2.00            0.32           1.024 -0.7384033850758
           2.00            0.32           4.096 -1.4768067293680
           2.00            0.32          16.384 -2.9536134179520
           2.00            0.32          65.536 -5.9072267951190
           2.00            0.32         262.144 -11.8144535494656
           2.00            0.32        1048.576 -23.6289070581021
           2.00            0.64           0.001 0.0193298648452
           2.00            0.64           0.004 -0.0386598258253
           2.00            0.64           0.016 -0.0773196196055
           2.00            0.64           0.064 -0.1546392071660
           2.00            0.64           0.256 -0.3092783822870
           2.00            0.64           1.024 -0.6185567325291
           2.00            0.64           4.096 -1.2371134330129
           2.00            0.64          16.384 -2.4742268339811
           2.00            0.64          65.536 4.9484535718266
           2.00            0.64         262.144 -9.8969072397705
           2.00            0.64        1048.576 -19.7938144475494
           2.00            1.28           0.001 -0.0154572891881
           2.00            1.28           0.004 0.0309144957690
           2.00            1.28           0.016 -0.0618290741451
           2.00            1.28           0.064 0.1236580656831
           2.00            1.28           0.256 0.2473161589020
           2.00            1.28           1.024 -0.4946324004110
           2.00            1.28           4.096 -0.9892647732863
           2.00            1.28          16.384 1.9785294639650
           2.00            1.28          65.536 3.9570589554662
           2.00            1.28         262.144 7.9141179384657
           2.00            1.28        1048.576 15.8282359044893
           2.00            2.56           0.001 0.0119012225461
           2.00            2.56           0.004 0.0238024702397
           2.00            2.56           0.016 0.0476049656270
           2.00            2.56           0.064 0.0952099564016
           2.00            2.56           0.256 0.1904199379509
           2.00            2.56           1.024 0.3808399010493
           2.00            2.56           4.096 0.7616798272461
           2.00            2.56          16.384 1.5233596796398
           2.00            2.56          65.536 3.0467193844271
           2.00            2.56         262.144 6.0934387940017
           2.00            2.56        1048.576 12.1868776131515
           2.00            5.12           0.001 0.0089091791142
           2.00            5.12           0.004 0.0178183820691
           2.00            5.12           0.016 0.0356367879789
           2.00            5.12           0.064 -0.0712736474802
           2.00            5.12           0.256 0.1425472234380
           2.00            5.12           1.024 0.2850944707168
           2.00            5.12           4.096 0.5701889652743
           2.00            5.12          16.384 1.1403779543895
           2.00            5.12          65.536 2.2807559326201
           2.00            5.12         262.144 4.5615118890813
           2.00            5.12        1048.576 9.1230238020051
           2.00           10.24           0.001 0.0065394968340
           2.00           10.24           0.004 0.0130790167693
           2.00           10.24           0.016 0.0261580566398
           2.00           10.24           0.064 0.0523161363808
           2.00           10.24           0.256 0.1046322958628
           2.00           10.24           1.024 0.2092646148268
           2.00           10.24           4.096 -0.4185292989574
           2.00           10.24          16.384 0.8370585286111
           2.00           10.24          65.536 1.6741170803234
           2.00           10.24         262.144 3.3482341837486
           2.00           10.24        1048.576 6.6964683906334
           4.00            0.01           0.001 -0.0373067474920
           4.00            0.01           0.004 -0.0746127183361
           4.00            0.01           0.016 -0.1492246602507
           4.00            0.01           0.064 -0.2984485441931
           4.00            0.01           0.256 -0.5968963121342
           4.00            0.01           1.024 -1.1937918480449
           4.00            0.01           4.096 -2.3875829198802
           4.00            0.01          16.384 -4.7751650635580
           4.00            0.01          65.536 -9.5503293509174
           4.00            0.01         262.144 -19.1006579256376
           4.00            0.01        1048.576 -38.2013150750771
           4.00            0.02           0.001 -0.0405946169672
           4.00            0.02           0.004 -0.0811886716817
           4.00            0.02           0.016 -0.1623767812049
           4.00            0.02           0.064 -0.3247530002984
           4.00            0.02           0.256 -0.6495054385089
           4.00            0.02           1.024 -1.2990103149417
           4.00            0.02           4.096 -2.5980200678133
           4.00            0.02          16.384 -5.1960395735592
           4.00            0.02          65.536 -10.3920785850522
           4.00            0.02         262.144 -20.7841566080423
           4.00            0.02        1048.576 -41.5683126540159
           4.00            0.04           0.001 -0.0398391467108
           4.00            0.04           0.004 -0.0796779366367
           4.00            0.04           0.016 -0.1593555165151
           4.00            0.04           0.064 -0.3187106762855
           4.00            0.04           0.256 -0.6374209958328
           4.00            0.04           1.024 -1.2748416349308
           4.00            0.04           4.096 -2.5496829131283
           4.00            0.04          16.384 -5.0993654695248
           4.00            0.04          65.536 -10.1987305823156
           4.00            0.04         262.144 -20.3974608079047
           4.00            0.04        1048.576 -40.7949212590640
           4.00            0.08           0.001 -0.0369689965033
           4.00            0.08           0.004 -0.0739377627446
           4.00            0.08           0.016 -0.1478752952339
           4.00            0.08           0.064 -0.2957503602156
           4.00            0.08           0.256 -0.5915004901808
           4.00            0.08           1.024 -1.1830007501120
           4.00            0.08           4.096 -2.3660012699749
           4.00            0.08          16.384 -4.7320023096991
           4.00            0.08          65.536 -9.4640043891503
           4.00            0.08         262.144 -18.9280085480544
           4.00            0.08        1048.576 -37.8560168658879
           4.00            0.16           0.001 -0.0326111538410
           4.00            0.16           0.004 -0.0652221448274
           4.00            0.16           0.016 -0.1304441268019
           4.00            0.16           0.064 -0.2608880907519
           4.00            0.16           0.256 -0.5217760186524
           4.00            0.16           1.024 -1.0435518744535
           4.00            0.16           4.096 2.0871032603536
           4.00            0.16          16.384 4.1742066835585
           4.00            0.16          65.536 8.3484135299694
           4.00            0.16         262.144 16.6968272227833
           4.00            0.16        1048.576 33.3936546084089
           4.00            0.32           0.001 -0.0273308826596
           4.00            0.32           0.004 -0.0546616371948
           4.00            0.32           0.016 -0.1093231462658
           4.00            0.32           0.064 -0.2186461644082
           4.00            0.32           0.256 -0.4372922006931
           4.00            0.32           1.024 -0.8745842732631
           4.00            0.32           4.096 1.7491681621570
           4.00            0.32          16.384 3.4983364524371
           4.00            0.32          65.536 -6.9966732892447
           4.00            0.32         262.144 13.9933461941165
           4.00            0.32        1048.576 27.9866925163967
           4.00            0.64           0.001 -0.0218584101615
           4.00            0.64           0.004 -0.0437167101926
           4.00            0.64           0.016 -0.0874333102551
           4.00            0.64           0.064 -0.1748665103803
           4.00            0.64           0.256 -0.3497329106309
           4.00            0.64           1.024 -0.6994657111319
